GEN UID,Committable,status,power_generated
101_CT_1,Yes,-10.0,0.0
101_CT_2,Yes,-10.0,0.0
101_STEAM_3,Yes,80.0,30
101_STEAM_4,Yes,80.0,30
102_CT_1,Yes,-10.0,0.0
102_CT_2,Yes,-10.0,0.0
102_STEAM_3,Yes,80.0,30
102_STEAM_4,Yes,80.0,30
107_CC_1,Yes,80.0,170
113_CT_1,Yes,-22.0,0.0
113_CT_2,Yes,-22.0,0.0
113_CT_3,Yes,-22.0,0.0
113_CT_4,Yes,-22.0,0.0
115_STEAM_1,Yes,40.0,5
115_STEAM_2,Yes,40.0,5
115_STEAM_3,Yes,80.0,62
116_STEAM_1,Yes,80.0,62
118_CC_1,Yes,80.0,170
123_STEAM_2,Yes,80.0,62
123_STEAM_3,Yes,240.0,140
123_CT_1,Yes,-22.0,0.0
123_CT_4,Yes,-22.0,0.0
123_CT_5,Yes,-22.0,0.0
201_CT_1,Yes,-10.0,0.0
201_CT_2,Yes,-10.0,0.0
201_STEAM_3,Yes,80.0,30
202_CT_1,Yes,-10.0,0.0
202_CT_2,Yes,-10.0,0.0
202_STEAM_3,Yes,80.0,30
202_STEAM_4,Yes,80.0,30
207_CT_1,Yes,-22.0,0.0
207_CT_2,Yes,-22.0,0.0
213_CC_3,Yes,80.0,170
213_CT_1,Yes,-22.0,0.0
213_CT_2,Yes,-22.0,0.0
215_CT_4,Yes,-22.0,0.0
215_CT_5,Yes,-22.0,0.0
216_STEAM_1,Yes,80.0,62
218_CC_1,Yes,80.0,170
221_CC_1,Yes,80.0,170
223_STEAM_1,Yes,80.0,62
223_STEAM_2,Yes,80.0,62
223_STEAM_3,Yes,240.0,140
223_CT_4,Yes,-22.0,0.0
223_CT_5,Yes,-22.0,0.0
223_CT_6,Yes,-22.0,0.0
301_CT_1,Yes,-10.0,0.0
301_CT_2,Yes,-10.0,0.0
301_CT_3,Yes,-22.0,0.0
301_CT_4,Yes,-22.0,0.0
302_CT_1,Yes,-10.0,0.0
302_CT_2,Yes,-10.0,0.0
302_CT_3,Yes,-22.0,0.0
302_CT_4,Yes,-22.0,0.0
307_CT_1,Yes,-22.0,0.0
307_CT_2,Yes,-22.0,0.0
313_CC_1,Yes,80.0,170
315_STEAM_1,Yes,40.0,5
315_STEAM_2,Yes,40.0,5
315_STEAM_3,Yes,40.0,5
315_STEAM_4,Yes,40.0,5
315_STEAM_5,Yes,40.0,5
315_CT_6,Yes,-22.0,0.0
315_CT_7,Yes,-22.0,0.0
315_CT_8,Yes,-22.0,0.0
316_STEAM_1,Yes,80.0,62
318_CC_1,Yes,80.0,170
321_CC_1,Yes,80.0,170
322_CT_5,Yes,-22.0,0.0
322_CT_6,Yes,-22.0,0.0
323_CC_1,Yes,80.0,170
323_CC_2,Yes,80.0,170
114_SYNC_COND_1,Yes,10.0,0.0
121_NUCLEAR_1,Yes,240.0,396
122_HYDRO_1,No,,
122_HYDRO_2,No,,
122_HYDRO_3,No,,
122_HYDRO_4,No,,
122_HYDRO_5,No,,
122_HYDRO_6,No,,
201_HYDRO_4,No,,
214_SYNC_COND_1,Yes,10.0,0.0
215_HYDRO_1,No,,
215_HYDRO_2,No,,
215_HYDRO_3,No,,
222_HYDRO_1,No,,
222_HYDRO_2,No,,
222_HYDRO_3,No,,
222_HYDRO_4,No,,
222_HYDRO_5,No,,
222_HYDRO_6,No,,
314_SYNC_COND_1,Yes,10.0,0.0
322_HYDRO_1,No,,
322_HYDRO_2,No,,
322_HYDRO_3,No,,
322_HYDRO_4,No,,
320_PV_1,No,,
314_PV_1,No,,
314_PV_2,No,,
313_PV_1,No,,
314_PV_3,No,,
314_PV_4,No,,
313_PV_2,No,,
310_PV_1,No,,
324_PV_1,No,,
312_PV_1,No,,
310_PV_2,No,,
324_PV_2,No,,
324_PV_3,No,,
113_PV_1,No,,
319_PV_1,No,,
215_PV_1,No,,
102_PV_1,No,,
101_PV_1,No,,
102_PV_2,No,,
104_PV_1,No,,
212_CSP_1,No,,
101_PV_2,No,,
101_PV_3,No,,
101_PV_4,No,,
103_PV_1,No,,
119_PV_1,No,,
308_RTPV_1,No,,
313_RTPV_1,No,,
313_RTPV_2,No,,
313_RTPV_3,No,,
313_RTPV_4,No,,
313_RTPV_5,No,,
313_RTPV_6,No,,
313_RTPV_7,No,,
313_RTPV_8,No,,
313_RTPV_9,No,,
313_RTPV_10,No,,
313_RTPV_11,No,,
313_RTPV_12,No,,
320_RTPV_1,No,,
320_RTPV_2,No,,
320_RTPV_3,No,,
313_RTPV_13,No,,
320_RTPV_4,No,,
320_RTPV_5,No,,
118_RTPV_1,No,,
118_RTPV_2,No,,
118_RTPV_3,No,,
118_RTPV_4,No,,
118_RTPV_5,No,,
118_RTPV_6,No,,
320_RTPV_6,No,,
118_RTPV_7,No,,
118_RTPV_8,No,,
118_RTPV_9,No,,
118_RTPV_10,No,,
213_RTPV_1,No,,
309_WIND_1,No,,
317_WIND_1,No,,
303_WIND_1,No,,
122_WIND_1,No,,
313_STORAGE_1,No,,
